Using device: cuda
The model has 87,498 trainable parameters
Epoch 1/25, Train loss: 165.90697674418604
Epoch 1/25, Val loss: 166.13253008026675
Epoch 2/25, Train loss: 165.90697674577024
Epoch 2/25, Val loss: 166.13253008026675
Epoch 3/25, Train loss: 165.90697674418604
Epoch 3/25, Val loss: 166.13253008026675
Epoch 4/25, Train loss: 165.9069767473544
Epoch 4/25, Val loss: 166.13253008026675
Epoch 5/25, Train loss: 165.90697674577024
Epoch 5/25, Val loss: 166.13253008026675
Epoch 6/25, Train loss: 165.90697674577024
Epoch 6/25, Val loss: 166.13253008026675
Epoch 7/25, Train loss: 165.90697674577024
Epoch 7/25, Val loss: 166.13253008026675
Epoch 8/25, Train loss: 165.90697674418604
Epoch 8/25, Val loss: 166.13253008026675
Epoch 9/25, Train loss: 165.9069767473544
Epoch 9/25, Val loss: 166.13253008026675
Epoch 10/25, Train loss: 165.90697674577024
Epoch 10/25, Val loss: 166.13253008026675
Epoch 11/25, Train loss: 165.90697674577024
Epoch 11/25, Val loss: 166.13253008026675
Epoch 12/25, Train loss: 165.90697674577024
Epoch 12/25, Val loss: 166.13253008026675
Epoch 13/25, Train loss: 165.90697674418604
Epoch 13/25, Val loss: 166.13253008026675
Epoch 14/25, Train loss: 165.90697674577024
Epoch 14/25, Val loss: 166.13253008026675
Epoch 15/25, Train loss: 165.90697674577024
Epoch 15/25, Val loss: 166.13253008026675
Epoch 16/25, Train loss: 165.90697674577024
Epoch 16/25, Val loss: 166.13253008026675
Epoch 17/25, Train loss: 165.9069767473544
Epoch 17/25, Val loss: 166.13253008026675
Epoch 18/25, Train loss: 165.90697674497812
Epoch 18/25, Val loss: 166.13253008026675
Epoch 19/25, Train loss: 165.90697674418604
Epoch 19/25, Val loss: 166.13253008026675
Epoch 20/25, Train loss: 165.90697674497812
Epoch 20/25, Val loss: 166.13253008026675
Epoch 21/25, Train loss: 165.9069767473544
Epoch 21/25, Val loss: 166.13253008026675
Epoch 22/25, Train loss: 165.9069767473544
Epoch 22/25, Val loss: 166.13253008026675
Epoch 23/25, Train loss: 165.90697674418604
Epoch 23/25, Val loss: 166.13253008026675
Epoch 24/25, Train loss: 165.90697674577024
Epoch 24/25, Val loss: 166.13253008026675
Epoch 25/25, Train loss: 165.90697674418604
Epoch 25/25, Val loss: 166.13253008026675
/opt/conda/lib/python3.10/site-packages/torch/nn/modules/conv.py:456: UserWarning: Applied workaround for CuDNN issue, install nvrtc.so (Triggered internally at /opt/conda/conda-bld/pytorch_1716905971132/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:84.)
  return F.conv2d(input, weight, bias, self.stride,
