2024-07-30 14:27:19,698 INFO    MainThread:19805 [wandb_setup.py:_flush():76] Current SDK version is 0.17.3
2024-07-30 14:27:19,699 INFO    MainThread:19805 [wandb_setup.py:_flush():76] Configure stats pid to 19805
2024-07-30 14:27:19,699 INFO    MainThread:19805 [wandb_setup.py:_flush():76] Loading settings from /home/adam/.config/wandb/settings
2024-07-30 14:27:19,699 INFO    MainThread:19805 [wandb_setup.py:_flush():76] Loading settings from /home/adam/Documents/research_internship/ood_slam/slam_performance_model/scripts/wandb/settings
2024-07-30 14:27:19,699 INFO    MainThread:19805 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-30 14:27:19,699 INFO    MainThread:19805 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-30 14:27:19,699 INFO    MainThread:19805 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'slam_performance_model/scripts/train.py', 'program_abspath': '/home/adam/Documents/research_internship/ood_slam/slam_performance_model/scripts/train.py', 'program': '/home/adam/Documents/research_internship/ood_slam/slam_performance_model/scripts/train.py'}
2024-07-30 14:27:19,699 INFO    MainThread:19805 [wandb_init.py:_log_setup():520] Logging user logs to /home/adam/Documents/research_internship/ood_slam/slam_performance_model/scripts/wandb/offline-run-20240730_142719-u7ihzxn3/logs/debug.log
2024-07-30 14:27:19,699 INFO    MainThread:19805 [wandb_init.py:_log_setup():521] Logging internal logs to /home/adam/Documents/research_internship/ood_slam/slam_performance_model/scripts/wandb/offline-run-20240730_142719-u7ihzxn3/logs/debug-internal.log
2024-07-30 14:27:19,699 INFO    MainThread:19805 [wandb_init.py:init():560] calling init triggers
2024-07-30 14:27:19,699 INFO    MainThread:19805 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {}
2024-07-30 14:27:19,699 INFO    MainThread:19805 [wandb_init.py:init():610] starting backend
2024-07-30 14:27:19,699 INFO    MainThread:19805 [wandb_init.py:init():614] setting up manager
2024-07-30 14:27:19,703 INFO    MainThread:19805 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-30 14:27:19,704 INFO    MainThread:19805 [wandb_init.py:init():622] backend started and connected
2024-07-30 14:27:19,708 INFO    MainThread:19805 [wandb_init.py:init():711] updated telemetry
2024-07-30 14:27:19,711 INFO    MainThread:19805 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-07-30 14:27:19,713 INFO    MainThread:19805 [wandb_init.py:init():795] starting run threads in backend
2024-07-30 14:27:19,815 INFO    MainThread:19805 [wandb_run.py:_console_start():2380] atexit reg
2024-07-30 14:27:19,815 INFO    MainThread:19805 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-30 14:27:19,815 INFO    MainThread:19805 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-30 14:27:19,815 INFO    MainThread:19805 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-30 14:27:19,816 INFO    MainThread:19805 [wandb_init.py:init():838] run started, returning control to user process
2024-07-30 14:27:23,604 WARNING MsgRouterThr:19805 [router.py:message_loop():77] message_loop has been closed
